"id","password","last_login","is_superuser","email","rut","first_name","last_name","telefono","fechanac","direccion","is_staff","is_active","date_joined"
"1","pbkdf2_sha256$260000$Db9aTyD5xBSBpeNXWQicjJ$UMQ755RyyNpHh0V3vCuwWB1M+M5IffkPB55KGF0NFBU=","2024-11-18 14:14:32.920330","1","admin@admin.cl",NULL,"admin","adminna","1234567812","2024-11-12","Noneaaaaaaaaaa","1","1","2024-10-12 01:00:40.080086"
"2","pbkdf2_sha256$260000$WlkdBMZQzDrNM4MrbNXSsl$KLGQuODfBxiB4S7Y3ciB27BcxqTbs8h9QIPRGxX53Do=","2024-10-14 20:33:58.225366","0","jose@jose.cl","123456789","jose","jose","123658412","2002-01-09","lota 45","0","1","2024-10-14 20:33:58.221378"
"123","asd","2024-11-05 16:41:29.000000","1","123","123","123","123","123","2024-11-11","123","1","1","2024-11-07 16:41:29.000000"
"412","123","2024-11-05 16:41:29.000000","1","12315","123456789-1","123","123","5","2024-11-03","123515","1","2","2024-11-07 16:41:29.000000"
"413","pbkdf2_sha256$260000$G3NWB2TwB5BAbEb6WnpqaI$Mop0HCyrc0GEZYPt2W/xSVX/wb0QKoR/dg5XkWiP9pA=","2024-11-14 02:19:08.769546","0","a@a.cl","200839749","aasdasd","aasdasd","934366162","1998-12-02","Miguel Angel 3721, Dpto A24","0","1","2024-11-14 02:18:47.215464"
"414","pbkdf2_sha256$390000$fiIpudfleUnwiVkahhHAH6$wB18T9av1qDujQBYwRu/Jsusjwve2laPtG3NX6WmyUc=","2024-11-17 02:05:10.627595","0","pepe@tapia.cl","11.877.923-1","pepe","tapia","48137575","1996-04-30","Lagunillas 3192","0","1","2024-11-17 02:05:10.616652"
"416","pbkdf2_sha256$260000$1mjcjRpWHBL3hUGVF9nYIA$AynJyJgtEuRVivf+3tXaP/lD/Q5hsM0YkCSYazFFEH8=","2024-11-18 02:58:33.800863","0","javier@gmail.com","987632546-0","javier","Contreras","981415111","2002-01-09","lota 45","0","1","2024-11-18 01:05:43.090151"
"417","pbkdf2_sha256$260000$xmPSyKVrR9vEnlIHVYeY1w$SbA5ZZl8jkXm1UrRHqBg6DlTJohn5onT0lvEtq8uJVI=","2024-11-18 01:10:00.330304","0","Bastian@gmail.com","120987654-2","Bastian","chamblas","981415111","2002-01-09","lota 45","0","1","2024-11-18 01:10:00.324546"
"418","pbkdf2_sha256$260000$AurJd77Igg89NCxNRbOC4q$WAlj5kge1XLCZ3kypSmIzaJP7P0LXAThZx2sb838Yg0=","2024-11-18 01:13:48.873287","0","Nicolas@gmail.com","987632546","Nicolas","Nico","981415111","2002-01-09","lota 45","0","1","2024-11-18 01:13:48.868302"
"419","pbkdf2_sha256$260000$5IZuFUxVlo325dFTnXLRTH$XET42MfIwXStbyw9O0wHdcX3l23dEAtWoQ6twH2IC4c=","2024-11-18 01:18:57.802076","0","jose@gmail.com","21.117.906-6","jose","agurto","981415111","2002-01-09","mi casita","0","1","2024-11-18 01:18:57.798087"
"420","pbkdf2_sha256$260000$J4wjzdKHA1TYDCzbqa9eVH$edU+qvAe7avrSTO/yRQ0vObGpCULVV450kEUDG0Yt+Y=","2024-11-18 01:23:10.164393","0","manea@gmail.com","987632546","mane","mani","981415111","2002-01-09","mi casita","0","1","2024-11-18 01:23:10.160404"
"421","pbkdf2_sha256$260000$jMoQAd5otmb4eFhTlCYQkt$VNBhyRljGnYwfK1AzmQrfhHqXIk51wn80nI5boodh1w=","2024-11-18 01:27:03.827706","0","julio@gmail.com","122231212","julio","tantas","981415111","2002-01-09","lota 45","0","1","2024-11-18 01:27:03.823749"
"422","pbkdf2_sha256$260000$DZfN3lv4VuzqpHfjmgpYxz$tPcq2hVrCELZbCrzVOkSdnNXs40ARz08CRIgH2b0ePI=","2024-11-18 01:34:09.769916","0","agurtojose150@gmail.com","873873823","Jose Agurto","mamam","981415111","2002-01-09","lota 45","0","1","2024-11-18 01:34:09.765343"
"423","pbkdf2_sha256$260000$juXHGdnjznTmLivLddRiNw$GMDPX3f+38hCSEzuy2CuFPbeCfhnK3ifVxMWVaFTvm4=","2024-11-18 14:52:20.494864","0","joseto@gmail.com","12.967.904-2","Jose Agurto","manaas","981415111","2024-11-07","lota 45","0","1","2024-11-18 12:24:25.929058"
"426","pbkdf2_sha256$260000$Ko2KL9qgLfkPctr9N5y1JG$c6komhVTVLc85ON4OiQAKCan10ob0wA3EXTMq59HGwY=",NULL,"0","ag@gmail.com","21117906-6","lalalaa","aaaaaa","123456789",NULL,"xvdxc","0","0","0000-00-00 00:00:00.000000"
